Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Salary_type,min_salary,max_salary,avg_salary,Company_text,job_city,job_state,same_state,company_age,python_JD,rstudio_JD,spark_JD,aws_JD,machinelearning_JD,datascience_JD
Data Scientist,108-145,"Secure our Nation, Ignite your Future

Summary

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies
Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Desired Experience, Skills & Technologies
Previous investigative experience, using a combination of technical and analytic skills
#LI-SS2

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.1,"ManTech
4.1","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,₹100 to ₹500 billion (INR),-1,Glassdoor,108,145,126.5,"ManTech
",Chantilly,VA,0,52,0,0,0,0,1,0
Business Intelligence Analyst,60-70,"GENERAL DESCRIPTION
Individuals working as business intelligence analysts look for patterns and trends in data, and produce operational and market intelligence reports by querying available data repositories. They may examine geographic and seasonal trends as well as overall market or business behavior in order to provide recommendations for action. Their reports may be tailored to the needs of specific users. These individuals may develop programs and tools to facilitate their job.
ABOUT CARDONE VENTURES
This company operates nationally and is growing by the day. Our mission is to help business owners achieve their personal, professional, and goals through the growth of their businesses. We work in dozens of verticals and provide strategic business guidance through courses, live events, partnerships, and investments. Our core values are the backbone of our business and guide our hiring process: we are inspirational, accountable, transparent, disciplined, intentional, and results oriented.
JOB DUTIES AND RESPONSIBILITIES
On a day-to-day basis the position’s responsibilities include:
Articulating data collection needs to clients
Assisting clients in extracting data
Transforming the data into a standard format
Loading formatted data into an analytic model for the calculation of standard metric results
Creating analytic models, as needed
Working independently and collaboratively to deliver high-quality results for the company and clients
JOB SKILLS AND REQUIREMENTS
Technical Skills: Business intelligence analysts use complex computer programs to mine data sources and look for trends
Analytical Skills: A major part of the job is to determine what data trends mean. Being able to analyze the data is crucial
Communication Skills: Once the data is analyzed, business intelligence analysts must communicate their findings to the company or their managers
Collaboration Skills: Possess the interpersonal skills to collaborate with clients to extract data from information systems, work well with team members to deliver upon projects with cross-responsibilities
Problem-Solving: Business intelligence analysts need to look at the data trends and recommend solutions for creating more revenue and reducing loss
Time Management: Business intelligence analysts work on large projects and many data streams and many deadlines. Being able to juggle it all is crucial to the job
TECHNICAL SKILL REQUIREMENTS
Microsoft Office: Must have demonstrable high-level skills in Excel, intermediate level skills in Word and PowerPoint
Must have intermediate-level experience with Excel PowerPivot or Microsoft Power BI
Asana or other Project Management: Must have demonstrable intermediate-level experience using Asana or another project management application to collaborating with team members towards on-time delivery of work tasks
G Suite: Must have intermediate-level skills with Sheets, Docs, Slides, and Google Drive
Zoom: Must have experience with the Zoom video-conferencing application
SimplyAnalytics: Intermediate-level experience with the SimplyAnalytics platform is a plus
EDUCATION AND WORK EXPERIENCE
Bachelor's degree in business, management, accounting, economics, statistics, information science or similar
Masters in Business Administration (MBA) degree is a plus
Must have a minimum of 3-5 years of work experience in a position encompassing the General Description and Job Skills articulated above
PHYSICAL REQUIREMENTS
Prolonged periods sitting at a desk and working on a computer.
This position will require travel – up to 20%

COMMITMENT TO DIVERSITY
As an equal opportunity employer committed to meeting the needs of a multigenerational and multicultural workforce Cardone Ventures recognizes that a diverse staff, reflective of our community, is an integral and welcome part of a successful and ethical business. We hire local talent at all levels regardless of race, color, religion, age, national origin, gender, gender identity, sexual orientation or disability, and actively foster inclusion in all forms both within our company and across interactions with clients, candidates and partners.
If this position caught your eye, send us your resume! For best consideration, include the job title and source where you found this position in the subject line of your email to careers@cardoneventures.com. Already a Cardone Ventures candidate? Please connect directly with your recruiter to discuss this opportunity.",5.0,"Cardone Ventures
5.0","Vancouver, WA","Aventura, FL",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1,Employer,60,70,65.0,"Cardone Ventures
",Vancouver,WA,0,-1,0,0,0,0,0,0
Data Scientist,69-113,"GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.

As a Data Scientist, you will be a member of this diverse and highly skilled team. On any given day, you may be exploring new data sets with a business or IT partner, learning the intricacies of a business process, building models, or coordinating the productionalization of a model. You will use a variety of tools (including SQL, Python, R, Spark, and shell scripting) in a variety of environments (including various databases, Linux servers, and Hadoop). You’ll work in a highly collaborative, team environment where you will quickly develop wide ranging exposure to new methods and best practices for conducting data science in a commercial environment.

Expected Qualifications:

Bachelor’s degree in a quantitative discipline, such as statistics, data science, computer science, mathematics, engineering, physics, etc. Advanced degree strongly preferred
2 years of combined academic/industry experience with predictive modeling, machine learning, advanced analytics
Solid understanding and experience with advanced statistics and modern machine learning predictive techniques such as GLMs, decision trees, forests, boosted ensembles, neural networks, deep learning, etc.
Strong coding skills using common data science tools, such as Python (strongly preferred), R, Linux/Unix command line and shell scripting, etc.
Strong skills in data processing using SQL, Hive, Impala, Spark, or equivalent querying language
Familiarity with distributed storage and big data computing technology (AWS, Hadoop, Spark, etc.)
Excellent communication skills
Passion for extracting hidden insights and building machine learning systems that enhance business outcomes
About GEICO

For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:
401(k) and profit-sharing plans
Medical, dental, vision and life insurance
Paid vacation, holidays and leave programs
Tuition reimbursement
Associate assistance program
Flexible spending accounts
Business casual dress
Fitness and dining facilities (at most locations)
Associate clubs and sports teams
Volunteer opportunities
GEICO Federal Credit Union
Benefit offerings for positions other than full-time may vary.
GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers.

How to Apply

Click ""Apply for Job"" to complete your application. You will need an active email address and phone number. Please upload your resume, preferably as Word .doc files or PDF. Once you begin your application you can save it and access it later. Your application should include any work and/or internship experience from at least the past five years.
#LI-JW1",3.3,"GEICO
3.3","Chevy Chase, MD","Washington, DC",10000+ employees,1936,Subsidiary or Business Segment,Insurance Operators,Insurance,₹500+ billion (INR),-1,Glassdoor,69,113,91.0,"GEICO
",Chevy Chase,MD,0,84,1,0,1,1,1,1
Data Scientist,68-96,"Who We Are

Were Americas largest mortgage lender, closing loans in all 50 states. J.D Power ranked Quicken Loans Highest in Customer Satisfaction in Primary Mortgage Origination for the past nine consecutive years, 2010 2018. The company was also ranked highest in the nation for client satisfaction among mortgage servicers by J.D. Power for four consecutive years, 2014 through 2017, each year the company was eligible. Theres a simple reason weve been so successful: We care about the people we work with.

If youre tired of stuffy, bureaucratic workplaces, then youll be delighted to find something different here. We strive to make a creative, fun and collaborative environment you simply wont find anywhere else. Quicken Loans was named #1 in ESSENCE Magazines first ever list of Best Places to Work for African Americans in 2015. We've been on Computerworld's ""Best Places to Work in IT"" list for 13 years running, hitting #1 the last five years. We were also ranked #14 in FORTUNE Magazines list of ""100 Best Companies to Work For"" in 2018, remaining in the top-30 for the past 15 years.

What Youll Do/Need

The Data Scientist at Quicken Loans delves into the recesses of large data sets of structured, semi-structured and unstructured data to discover hidden knowledge about our business and to develop methods to leverage that knowledge within our line of business. The successful candidate combines strengths in mathematics and applied statics, computer science, visualization capabilities and a healthy sense of exploration and knowledge acquisition.

Responsibilities
Leverage your knowledge of programming, mathematics and computer science to transform the way our company does business
Translate business opportunities into data-driven machine learning, big data and modeling solutions that revamp our processes or produce data products
Develop and collect data for ad-hoc and statistical analyses
Identify methods that allow continuous and automated statistical testing to enhance the predictability of deployed models
Maintain relationships between business area clients, Business Intelligence and Technology so all teams are aligned to meet team objectives
Work with Project Managers to develop detailed project timelines
Summarize and present conclusions and solutions
Communicate complex analyses clearly to all audiences
Requirements
Masters degree or above in a STEM field, including but not limited to: computer science, statistics, applied mathematics, operations research, engineering, economics, social sciences, physics, chemistry
4 years of experience providing advanced analytics within a business setting
1 year of data science implementation experience within a business setting
Experience working with raw and missing data
Understanding of programming fundamentals
Understanding of statistics
Excellent communication skills
Whatll Make You Special
Experience with data visualization tools and time series
Working knowledge of relational databases and standard SQL query methods
Proficiency in at least one general programming language such as Python, Java or C/C++
Experience working with big data within a Hadoop environment
Experience working with R, SAS or other statistical packages
Advanced experience with statistical, econometric or data-mining tools and methods
Experience with linear models (linear regression, generalized linear regression, logistic regression), and nonlinear modeling techniques
Knowledge of advanced nonlinear techniques, including smoothing and ensemble methods
What Youll Get
Excellent benefits package that includes a 401(k) match, medical/dental/vision insurance and much more
Opportunities to participate in professional and personal development programs, including personal empowerment coaching, leadership training and ongoing personal growth training
Other incentives, contests and rewards, including trips, event tickets, cash prizes and more
Why We're Different

Corporate politics not your strong suit? The anti-corporate culture of Quicken Loans gives our team members the initiative to build solutions together and grow both personally and professionally. At Quicken Loans, were in the business of putting roofs over our clients heads, but we certainly arent putting ceilings on our team members careers. If youre interested in working in a place with a philosophy thats truly different, apply today.",3.9,"Quicken Loans
3.9","Detroit, MI","Detroit, MI",10000+ employees,1985,Company - Private,Lending,Finance,₹500+ billion (INR),"Citi, Bank of America, Wells Fargo",Glassdoor,68,96,82.0,"Quicken Loans
",Detroit,MI,1,35,1,0,0,0,1,1
Data Scientist,60-100,"Job
Summary
Apply several forms of statistical modeling approaches to predict and/or
optimize desired analytical objectives from key business stakeholders. Perform
data preparation, statistical model framework design, testing, implementation,
and ongoing performance monitoring. Prepare comprehensive model documentation
that meet internal, external and regulatory standards. Support Credit,
Marketing and other business line operations by solving complex quantitative
business problems. Execute various ad hoc quantitative and statistical software
programming assignments. Communicate
meaningful insights into data and model results to senior and executive management
in a non-technical manner. Requires working at a highly technical, analytical
and detail-oriented level.

Key Result Areas

· Organizing

· Analysis

· Accuracy

· Time Management

· Reporting

· Problem Solving

· Customer Service

· Regulation and
Compliance

· Collaboration

· Research

· Other Technical
Skills

Job Accountabilities

· Perform data
preparation, statistical model framework design, estimation, performance and
diagnostic testing, implementation, and ongoing monitoring to predict and/or
optimize desired objectives from business stakeholders.

· Prepare comprehensive model
documentation that meet internal, external and regulatory standards.

· Execute various ad hoc
quantitative and statistical software programming assignments.

· Communicate meaningful insights
into data and model results to senior and executive management in a
non-technical manner.

· Research
and deploy new statistical techniques and statistical software programming
languages.

Associated Bank is an equal opportunity employer committed to
creating a diverse workforce. We support a work environment where colleagues
are respected and given the opportunity to perform to their fullest potential.
We consider all qualified applicants without regard to race, religion, color,
sex, national origin, age, sexual orientation, gender identity, disability or
veteran status, among other factors. Applicants with a disability who need
assistance applying for a position with Associated Bank are asked to email:
colleaguecare@AssociatedBank.com or call: (800) 878-3282.

Education

·
Bachelor's Degree Statistics, Applied Economics, or Mathematics,
Required

Experience

·
2-4 years Quantitative modeling experience, Required

Skills

·
Analytical , Intermediate

·
Microsoft Office , Intermediate

·
Mathematical , Intermediate

·
Operate Office Equipment , Beginner

·
Verbal Communication , Intermediate

·
Written Communication , Intermediate

· Computer Systems
(specify) SAS, R, Python, and SQL, Intermediate

Compliance
Statement
Fully complies with all applicable enterprise policies and procedures. Acts in
compliance with all applicable laws and regulations as outlined in training
materials, including but not limited to Bank Secrecy Act. Responsible for
reporting suspicious activity to Financial Intelligence. Responsible to report
all customer complaints as prescribed and procedure violations to management or
HR. Responsible to report ethical concerns as needed to Associateds anonymous
Ethics Hotline.",3.8,"Associated Banc-Corp
3.8","Milwaukee, WI","Green Bay, WI",1001 to 5000 employees,1870,Company - Public,Banks & Building Societies,Finance,₹100 to ₹500 billion (INR),"Wells Fargo, BMO Harris Bank, U.S. Bank",Glassdoor,60,100,80.0,"Associated Banc-Corp
",Milwaukee,WI,0,150,1,0,0,1,0,0
Medical Lab Scientist,56-63,"Overview

About


Tower Health is a strong, regional, integrated healthcare provider/payer system that offers leading-edge, compassionate healthcare and wellness services to a population of 2.5 million people.

Together, our six hospitals and other entities provide a full range of medical care from prevention, screenings and education; to the latest clinical services and surgeries available; to rehabilitation. We also offer wellness programs and public health services that ensure our communities are the healthiest they can be. Our caring, highly trained physicians and staff are committed to patient safety and patient satisfaction.

Who We Are


With more than 12,000 team members, Tower Health includes Reading Hospital, a teaching hospital based in West Reading; Brandywine Hospital in Coatesville; Chestnut Hill Hospital, a teaching hospital in Philadelphia; Jennersville Hospital in West Grove; Phoenixville Hospital in Phoenixville; and Pottstown Hospital in Pottstown. We also operate Reading Hospital Rehabilitation at Wyomissing and Reading Hospital School of Health Sciences, and we have a comprehensive physician network.

Collaboration across Tower Health enables our hospitals, providers, leadership and staff to leverage best practices across the health system. Our patients benefit from access to a broad range of services all right here in our region.

#LI

Responsibilities


The Medical Laboratory Scientist is responsible for obtaining or receiving specimens, performing clinical laboratory tests by standardized procedures, understanding method principles, performing quality control, performing preventive maintenance, and interpreting results accurately, acceptably and within critical limits. The MLS works independently, organizing work to meet established deadlines and validates all data obtained.

Qualifications
Bachelor's Degree: Baccalaureate Degree in Medical Technology, Clinical Laboratory Science, Medical Laboratory Science or related science (Required)
Minimum of 1 year of experience
Certification and Licensure Requirements. MLS (ASCP) (Preferred)
To Be Discussed
2-Evening",3.5,"Tower Health
3.5","West Reading, PA","Reading, PA",5001 to 10000 employees,2017,Non-profit Organisation,Healthcare Services & Hospitals,Healthcare,Unknown / Non-Applicable,-1,Glassdoor,56,63,59.5,"Tower Health
",West Reading,PA,0,3,0,0,0,0,0,0
Data Scientist,68-78,"Preferred Qualifications
Masters degree or doctorate in statistics or another applied science field or equivalent experience
Considerable experience with statistical tools and packages (e.g., SAS, SPSS, Minitab, R) and methods to incorporate statistical results into analyses
Proficiency in at least one programming language, such as Python, Java or C/C++
Strong knowledge of statistical methods, particularly in the areas of modeling and business analytics
Comfort manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources
Ability to communicate complex quantitative analysis in a clear, precise and actionable manner
Experience with modeling and forecasting
Working knowledge of standard querying with SQL
Advanced hands-on experience with the Microsoft Office suite
Proven track record as a lead resource for the business
Strong written and verbal communication skills
Job Summary

The Data Scientist works with business owners and Technology teams to provide deep analysis and guidance on crucial business opportunities across many areas within the company. They draw upon their knowledge and experience in applied statistics, data mining, modeling and forecasting to ensure that results are accurate and clear, providing actionable opportunities for business leaders. The Data Scientist must be detail-oriented and highly aware of the impact of their analysis and solutions across the company. They take initiative and focus on finding innovative solutions for a myriad of business challenges.

Responsibilities
Work closely with various teams across the company to identify and solve business challenges utilizing large structured, semi-structured and unstructured data
Drive the collection of new data and the refinement of existing data sources for deep statistical analysis and modeling
Clean data in preparation for analysis and modeling
Perform statistical summaries and tests for relevant business questions
Develop predictive statistical, behavioral or other models via supervised and unsupervised machine learning, statistical analysis and other modeling techniques
Translate business opportunities into data-driven machine learning and modeling solutions that revamp the business process
Deploy applicable models into production system for business use
Perform statistical testing to enhance the predictability of deployed models
Summarize conclusions and solutions for presentation
Develop strong relationships with subject matter experts
Develop best practices for experimentation
Who We Are

Amrock is one of the largest providers of title insurance, property valuations and settlement services in the nation. The company is an authorized agent of the highest-rated title insurers in the industry, and its solutions power many of the nation's largest residential lending institutions. Amrock is a preferred provider to five of the top 20 Fortune 100 companies and many of the largest residential mortgage lenders. The company is based in Detroit and retains regional operating centers in Ohio, California, Pennsylvania and Texas.

Disclaimer

This is an outline of the primary responsibilities of this position. As with everything in life, things change. The tasks and responsibilities can be changed, added to, removed, amended, deleted and modified at any time by the leadership group.",3.6,"Amrock
3.6","Detroit, MI","Detroit, MI",1001 to 5000 employees,1997,Company - Private,Real Estate,Real Estate,₹50 to ₹100 billion (INR),-1,Glassdoor,68,78,73.0,"Amrock
",Detroit,MI,1,23,1,0,0,0,1,0
Computational Scientist,47-82,"Type of Requisition:

Regular

Clearance Level Must Currently Possess:

Interim Secret

Clearance Level Must Be Able to Obtain:

Secret

Suitability:

No Suitability Required

Public Trust/Other Required:

None

Job Family:

Data Science

Job Description:

The Department of Defense (DoD) High Performance Computing Modernization Program (HPCMP) Productivity Enhancement and Training (PET) initiative. PET enhances the capability and productivity of the HPCMP community through training, collaboration, tool and software development, technology transfer, and outreach.

We currently have a position in Stennis, MS for a Computational Scientist.

You will join teams of computational experts representing a critical mass of expertise in key areas of support for the HPCMP.

Key Computational Functional Areas that may be supported include:
Computational Fluid Dynamics (CFD)
Computational Structural Mechanics (CSM)
Climate/Weather/Ocean Modeling and Simulation (CWO)
Environmental Quality Modeling and Simulation (EQM)
Forces Modeling and Simulation (FMS)
Integrated Modeling and Test Environments (IMT)
Space and Astrophysical Sciences (SAS)
Signal/Image Processing (SIP)
Duties may include the following;
Software Refactoring to Optimize Performance for Emerging Architectures
High Performance Data Analytics (HPDA): Technical support for customer projects that span the range of computational disciplines that require data analytical tools including, AI and ML.
Emerging Hardware (HW) Exploration: Supporting the evaluation of emerging hardware for potential future use
Technical Skills should include the following:
Expertise in the use of various programming languages used in scientific high-performance computing (FORTRAN, C/C++, Perl, Python), scientific visualization software (e.g., EnSite), and mesh generation software (e.g. Pointwise, GRIDGEN) is also preferred.
Experience with Linux on large scale systems.
Extensive knowledge of HPC and parallel programming techniques (e.g. MPI, OpenMP)
Bachelor of Science or higher preferred
5+ years Experience with HPC science or engineering programs
Must be a US citizen and be eligible for a DoD clearance
#GDITPRIORITY

Scheduled Weekly Hours:

40

Travel Required:

Less than 10%

Telecommuting Options:

Telecommuting Not Allowed

Work Location:

USA MS Stennis Space Center

Additional Work Locations:

We are GDIT. The people supporting some of the most complex government, defense, and intelligence projects across the country. We deliver. Bringing the expertise needed to understand and advance critical missions. We transform. Shifting the ways clients invest in, integrate, and innovate technology solutions. We ensure today is safe and tomorrow is smarter. We are there. On the ground, beside our clients, in the lab, and everywhere in between. Offering the technology transformations, strategy, and mission services needed to get the job done.

GDIT is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class.",3.4,"General Dynamics Information Technology
3.4","Stennis Space Center, MS","Fairfax, VA",10000+ employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,₹500+ billion (INR),"SAIC, Leidos, Northrop Grumman",Glassdoor,47,82,64.5,"General Dynamics Information Technology
",Stennis Space Center,MS,0,24,1,0,0,0,0,1
Data Scientist,83-144,"By clicking the Apply button, I understand that my employment application process with Takeda will commence and that I agree with Takedas Privacy Notice, Privacy Policy and Terms of Use.

Job Description


Takeda is looking for a Data Scientist to join our Data Engineering and Artificial Intelligence team. We are looking for a Data Scientist who can use their Machine Learning, Deep Learning, Data Wrangling and Presentation skills to help deliver insights for our most difficult questions. You will work with the rest of the team to enable Takeda to continue its journey of data maturity, delivering outputs while educating others. You will be helping to solve some of the biggest question at Takeda and for healthcare in general.

Are you looking for a patient-focused, innovation-driven company that will inspire you and empower you to shine? Join us as a Data Scientist in our Cambridge, MA location.

POSITION OBJECTIVES:
Apply machine learning, deep learning and other advanced techniques while performing Data Analysis engagements. This is against structured and un-structured data sets, at small and large scale.
Independently perform complex analysis using modern Data Science techniques against structured or unstructured data to generate insights.
Provide mentorship to other Data Engineers, Data Scientists and Data Specialists across R&D and Vaccines at Takeda as we elevate our data IQ across the organization.
Deliver critical analysis against Takedas toughest data problems to give us critical insight to the organizations largest questions.
POSITION ACCOUNTABILITIES:
Perform machine learning, deep learning and other advanced data techniques at a level of quality that can be defended to peers across organizations.
Introduce novel and state-of-the-art computational techniques to other teams and scientists to improve capabilities for data analysis with the purpose of deriving better insights from available datasets.
Understanding and usage of different Supervised and Unsupervised learning techniques, their biases, how and when to apply them and which methods are the best for a particular analysis.
Ability to wrangle raw data sets into a format that can have advanced methods applied against the resulting data.
Work independently to solve difficult technology and data problems.
Demonstrate usage of advanced tooling and techniques to other technical organizations throughout the company.
EDUCATION, BEHAVIORAL COMPETENCIES AND SKILLS:

Required
Masters Degree or PhD in Computer Science, Data Science or equivalent
3+ years experience or a PhD and relevant project / coursework
Expertise with the Application of Machine Learning and / or Deep Learning
Up-to-date knowledge of data wrangling and analysis technologies
Experience with Spark
Ability to manipulate voluminous data with different degree of structuring across disparate sources to build and communicate actionable insights for internal or external parties
Possesses strong personal skills to portray information
Ability to work in an agile and rapid changing environment with high quality deliverables
Experience with two of the following languages: Python, R, Java or Scala
Experience with deep learning frameworks: TensorFlow, MX Net
Working knowledge of SQL and NoSQL datastores
Preferred
Experience in a scientific environment
Experience with Reinforcement Learning
WHAT TAKEDA CAN OFFER YOU:
401(k) with company match and Annual Retirement Contribution Plan
Tuition reimbursement Company match of charitable contributions
Health & Wellness programs including onsite flu shots and health screenings
Generous time off for vacation and the option to purchase additional vacation days
Community Outreach Programs
Empowering Our People to Shine

Discover more at takedajobs.com

No Phone Calls or Recruiters Please.

#LI-JV1

Locations


Cambridge, MA

Worker Type


Employee

Worker Sub-Type


Regular

Time Type


Full time",3.7,"Takeda
3.7","Cambridge, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,₹500+ billion (INR),"Novartis, Baxter, Pfizer",Glassdoor,83,144,113.5,"Takeda
",Cambridge,MA,0,239,1,0,1,0,1,1
"Analyst II, Data Science",90-147,"Advance your career at Liberty Mutual - A Fortune 100 Company!
Responsibilities:
Collaborate with business partners to research and develop predictive analytic solutions that enable data-driven strategic decision-making
Utilize data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to predict the likelihood of a future outcome and/or to optimize business solution
Apply knowledge of sophisticated analytics techniques to manipulate large structured and unstructured data sets in order to generate insights to inform business decisions
Identify and test hypotheses, ensuring statistical significance, as part of building and developing predictive models for business application
Translate quantitative analyses and findings into accessible visuals for non-technical audiences, providing a clear view into interpreting the data
Enable the business to make clear trade-offs between and among choices, with a reasonable view into likely outcomes
Customize analytic solutions to specific client needs
Responsible for smaller components of projects of moderate-to-high complexity
Regularly engage with the data science community and participates in cross-functional working groups.

Qualifications:

The position requires a Master's Degree, or foreign equivalent, in Statistics, Applied Economics, or a related field plus two (2) years of experience in the job offered or a related field.
Employer will also accept a PhD Degree, or foreign equivalent, in Statistics, Applied Economics, or a related field.
The position also requires experience with each of the following: NLP and Deep Learning techniques, SQL as well as a statistical language (either Python or R)
Building Machine Learning models
Descriptive analytics, predictive analytics and statistical diagnostic techniques
To apply, please visit https://jobs.libertymutualgroup.com/, select 'Search Jobs,' enter job requisition # 113405 in the 'Job ID or Keywords' field, and submit resume. Alternatively, you may apply by submitting a resume via e-mail to RecruitLM@LibertyMutual.com. Reference requisition number in subject of e-mail.

Benefits:
We value your hard work, integrity and commitment to positive change. In return for your service, it's our privilege to offer you benefits and rewards that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits
Overview:
At Liberty Mutual, we give motivated, accomplished professionals the opportunity to help us redefine what insurance means; to work for a global leader with a deep sense of humanity and a focus on improving and protecting everyday lives. We create an inspired, collaborative environment, where people can take ownership of their work; push breakthrough ideas; and feel confident that their contributions will be valued and their growth championed.
We're dedicated to doing the right thing for our employees, because we know that their fulfillment and success leads us to great places. Life. Happiness. Innovation. Impact. Advancement. Whatever their pursuit, talented people find their path at Liberty Mutual.",3.3,"Liberty Mutual Insurance
3.3","Boston, MA","Boston, MA",10000+ employees,1912,Company - Private,Insurance Operators,Insurance,₹500+ billion (INR),"Travelers, Allstate, State Farm",Glassdoor,90,147,118.5,"Liberty Mutual Insurance
",Boston,MA,1,108,1,0,0,0,1,1
